ITEM_ID,PRODUCTNAME,PRODUCT,SUMMARY,DESCRIPTION,DESCRIPTION2,URL,CATEGORYTEXT1,ON_STOCK,PRICE,WARRANTY,IMGURL1,IMGURL5,IMGURL6,ENERGY_ARROW,DATA_SHEET,USER_MANUAL,SPARE_PART_LIST,ENERGY_LABEL,NEW_ITEM,ACTION,EAN,PRODUCTNO,DELIVERY_DATE,"Bouteilles de vin 750 ml","Plage de température","Classe climatique","Poids brut / net","Volume brut / net","Nombre et type de porte","Porte réversible","Nombre et type de tablettes",Pieds,"Finition extérieure","Finition intérieure","Éclairage intérieur",Serrure,"Type de régulation","Type de réfrigération","Type de dégivrage","Fluide frigorigène","Charge de gaz",Thermomètre,"Classe énergétique",Consommation d'énergie,Consommation énergétique annuelle,"Puissance consommée","Tension / Fréquence","Niveau sonore","Dimensions intérieures, zone 2 (LxPxH)","Dimensions intérieures (LxPxH)","Dimensions extérieures (LxPxH)","Dimensions emballées (LxPxH)","Charge conteneur 40 pieds","Canettes 330 ml","Canettes 500 ml","Bouteilles 330 ml","Bouteilles 500 ml PET","Couleur de tablette","Dimensions des tablettes","Charge max. par tablette",Roulettes,"Type de caisson","Vol EEI","Surface totale de présentation","Nombre et type de couvercles","Nombre et type de paniers","Nbre de paniers max.","Système de séparateurs","Nombre de séparateurs","Capacité bacs GN","Écran anti-projection",Tiroirs,"Capacité froid positif","Capacité congélation","Fût 20 l","Fût 50 l",Séparateurs,"Dimensions encastré (LxP)","BIB 20 l","BIB 10l","Dimensions de la tablette inférieure","Volume interne","Surface interne","Épaisseur des parois","Densité d’isolation","Capacité de service","Capacité de stockage (en dessous)","Capacité de production de glaçons","Capacité du bac à glaçons","Taille des glaçons","Consommation d’eau","Charge max. au sol"
16115,TFW160F,"Cave à vin","Cave à vin noire avec porte vitrée pour une présentation haut de gamme","La gamme TFW-F de caves à vin sans cadre est une solution élégante pour stocker et exposer des bouteilles de vin. Elle possède des lignes très contemporaines, avec une porte vitrée sans bord, un éclairage LED tout en douceur, et des tablettes en bois sur glissières. Cette cave à vin possède un groupe de réfrigération moderne permettant de réduire la chaleur, le bruit et la consommation d’énergie de l’armoire.","Poignée incurvée en acier inoxydable, 1 zone de température, Tablettes en bois, Porte vitrée teintée pour protéger le vin, Porte vitrée sans cadre, Porte vitrée réversible, Éclairage intérieur LED",https://www.tefcold.fr/Produits/TFW160F-16115,"Refroidisseurs | Refrodiseurs uniquement disponibles en dehors de l’EU",1,"687,00","Pièces de rechange inclues 1 an",https://www.tefcold.dk/Files/Images/Perfion/215da878-3f72-47b1-8b5a-9a1773e10387.jpg,https://www.tefcold.dk/Files/Images/Perfion/c5da1676-650f-49ff-b47d-b94ed48e0d37.jpg,https://www.tefcold.dk/Files/Images/Perfion/186c3408-d6ec-47aa-b69e-473d6f7b36f1.jpg,https://www.tefcold.fr//Files/Images/Perfion/c9394989-ff9a-491d-8c59-74ab1713b4cf.png,https://api.tefcold.com/api/productreport/getxmlreport?itemnumber=16115&languageid=LANG5,https://www.tefcold.fr//Files/TefcoldDownloads/73483c73-9db5-4f4b-8126-973382f99bda.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/8d78b905-6b72-4ed7-9cad-5e6b689a686a.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/8efa9cc1-e4b4-4920-8bfe-73596e83e645.pdf,0,0,5708181704414,16115,,45,"+5 à +18",4,"49 / 44","155 / 141","1 porte à charnières sans cadre",Oui,"4 étagères à vin bois","4 pieds ajustables",Noir,"ABS noir",LED,Non,Électronique,"Avec ventilateur",Automatique,R600a,35,Oui,A,0.4,146,160,220-240/50,40," x  x ","520 x 445 x 605","595 x 570 x 820","670 x 670 x 880",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16119,TFW265-2F,"Cave à vin","Cave à vin noire avec porte vitrée pour une présentation haut de gamme",,"Porte vitrée sans cadre, Poignée incurvée en acier inoxydable, 2 zones de température, Tablettes en bois, Étagères de présentation disponibles en option, Porte réversible, Porte vitrée teintée pour protéger le vin, Éclairage intérieur LED",https://www.tefcold.fr/Produits/TFW265-2F-16119,"Refroidisseurs | Refrodiseurs uniquement disponibles en dehors de l’EU",1,"977,00","Pièces de rechange inclues 1 an",https://www.tefcold.dk/Files/Images/Perfion/2f7caac2-adf5-43a5-8d4e-28729481aaf6.jpg,https://www.tefcold.dk/Files/Images/Perfion/dfa625b8-c9be-4bf4-9185-8ea175471a9a.jpg,https://www.tefcold.dk/Files/Images/Perfion/a5f621eb-014c-4df5-add1-b885499ebdad.jpg,https://www.tefcold.fr//Files/Images/Perfion/dc040f33-0272-4954-8fb3-df88f4d4b3c5.png,https://api.tefcold.com/api/productreport/getxmlreport?itemnumber=16119&languageid=LANG5,https://www.tefcold.fr//Files/TefcoldDownloads/d3211768-46b8-4f70-bd42-1df25ff0e5df.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/5311d761-1343-40b6-98d3-3f42916d1dd6.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/fa0c548b-4b26-4534-9f84-8119051202f7.pdf,0,0,5708181704278,16119,,110,"+5 à +10 / +10 à +18",4,"94 / 89","270 / 250","1 porte à charnières sans cadre",Oui,"10 étagères à vin bois","4 pieds ajustables",Noir,"ABS noir",LED,Non,Électronique,"Avec ventilateur",Automatique,R600a,60,Oui,C,0.76,277,155,220-240/50,40," x  x ","510 x 540 x 1130","595 x 680 x 1390","650 x 750 x 1590",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15821,"CEV425CP 2 LED","Réfrigérateur à boissons","Best seller des réfrigérateurs à boissons avec caisson","La gamme CEV est notre gamme de réfrigérateurs à boissons la plus populaire. Elle a tout ce qu’il faut pour une présentation optimale de boissons bien fraîches : une porte vitrée avec éclairage LED intégrée au cadre de porte, des tablettes réglables pour plus de flexibilité, du froid ventilé pour une température homogène dans l’armoire. En plus de cela, elle convient parfaitement au branding. Par défaut, elle permet au choix une ouverture à droite ou à gauche.","Un de nos best sellers, Excellente présentation des produits, Canopée lumineux, Convient parfaitement au branding, Éclairage LED dans le cadre de la porte, Tablettes ajustables, Refroidissement par ventilateur, Porte réversible (pièces supplémentaires nécessaires), Affichage digital de la température, Verrou",https://www.tefcold.fr/Produits/CEV425CP2LED-White-15821,"Inspiration | Boissons;Inspiration | Bar;Inspiration | Restaurant;Inspiration | Pizzeria;Inspiration | Hôtel;Inspiration | Épicerie;Inspiration | Pâtisserie;Refroidisseurs | Vitrines réfrigérées - 1 porte",1,"625,00","Pièces de rechange inclues 1 an",https://www.tefcold.dk/Files/Images/Perfion/f2784e60-7073-4d42-832b-a534fc994d76.jpg,https://www.tefcold.dk/Files/Images/Perfion/f48f6a9d-c3fd-405b-be1a-9392bbafb67e.png,https://www.tefcold.dk/Files/Images/Perfion/669fd7ae-bcb8-4886-bfc1-d9accbb08201.png,https://www.tefcold.fr//Files/Images/Perfion/6a4d4459-25b4-4665-9092-c51e676b97de.png,https://api.tefcold.com/api/productreport/getxmlreport?itemnumber=15821&languageid=LANG5,https://www.tefcold.fr//Files/TefcoldDownloads/4e925f20-102d-4097-b6dd-30aff07cfebe.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/a45f4d8b-dac2-4cd6-8006-3e221dc8206a.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/3c43980f-f320-4951-9f61-99bc02d15f60.pdf,0,0,5708181003722,15821,,,"+2 à +10",4,"83 / 78","372 / 347","1 porte vitrée à charnières",Oui,"4 clayettes blanches","2 pieds ajustables",Blanc,Blanc,"LED dans l'encadrement de la porte",Oui,Mécanique,"Avec ventilateur",Dégivrage,R600a,70,Oui,D,2.25,821,295,220-240/50,45," x  x ","470 x 440 x 1555","595 x 640 x 1980","665 x 710 x 2015",54,455,301,217,217,Blanc,"490 x 360 mm",196,2 roulettes,"Profil en D",358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15824,"CEV425 1 LED","Réfrigérateur à boissons","Best seller des réfrigérateurs à boissons sans caisson","La gamme CEV est notre gamme de réfrigérateurs à boissons la plus populaire. Elle a tout ce qu’il faut pour une présentation optimale de boissons bien fraîches : une porte vitrée avec éclairage LED intégrée au cadre de porte, des tablettes réglables pour plus de flexibilité, du froid ventilé pour une température homogène dans l’armoire. En plus de cela, elle convient parfaitement au branding. Par défaut, elle permet au choix une ouverture à droite ou à gauche.","Un de nos best sellers, Excellente présentation des produits, Convient parfaitement au branding, Éclairage LED dans le cadre de la porte, Tablettes ajustables, Pieds ajustables, Refroidissement par ventilateur, Porte réversible (pièces supplémentaires nécessaires), Verrou",https://www.tefcold.fr/Produits/CEV4251LED-White-15824,"Inspiration | Boissons;Inspiration | Bar;Inspiration | Restaurant;Inspiration | Pizzeria;Inspiration | Hôtel;Inspiration | Épicerie;Inspiration | Pâtisserie;Refroidisseurs | Vitrines réfrigérées - 1 porte",1,"619,00","Pièces de rechange inclues 1 an",https://www.tefcold.dk/Files/Images/Perfion/388e7405-4c42-4985-bfb2-014fd5c411a0.jpg,https://www.tefcold.dk/Files/Images/Perfion/f48f6a9d-c3fd-405b-be1a-9392bbafb67e.png,https://www.tefcold.dk/Files/Images/Perfion/669fd7ae-bcb8-4886-bfc1-d9accbb08201.png,https://www.tefcold.fr//Files/Images/Perfion/6a4d4459-25b4-4665-9092-c51e676b97de.png,https://api.tefcold.com/api/productreport/getxmlreport?itemnumber=15824&languageid=LANG5,https://www.tefcold.fr//Files/TefcoldDownloads/4e925f20-102d-4097-b6dd-30aff07cfebe.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/5b1e6ab0-c1c3-46ef-a2a3-47048a5d888e.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/b36c2562-e6f4-4c09-895b-d2e877f24a0d.pdf,0,0,5708181003715,15824,,,"+2 à +10",4,"80 / 75","372 / 347","1 porte vitrée à charnières",Oui,"4 clayettes blanches","2 pieds ajustables",Blanc,Blanc,"LED dans l'encadrement de la porte",Oui,Mécanique,"Avec ventilateur",Automatique,R600a,70,Oui,D,2.2,803,295,220-240/50,45," x  x ","470 x 440 x 1555","595 x 640 x 1840","665 x 710 x 2000",54,455,301,217,217,Blanc,"490 x 360 mm",196,2 roulettes,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15887,FS1220,"Réfrigérateur à boissons",,"La gamme FS de réfrigérateurs à boissons 1 porte offre une solidité à toute épreuve pour un prix très compétitif. L’armoire est blanche avec une porte vitrée à cadre aluminium gris. Elle combine excellente présentation des produits et puissant groupe frigorifique à froid brassé, et les tablettes réglables apportent une grande souplesse d’utilisation. ","Porte vitrée à cadre aluminium à charnières, Porte réversible, Tablettes ajustables, Pieds ajustables, Éclairage intérieur LED, Refroidissement par ventilateur",https://www.tefcold.fr/Produits/FS1220-15887,"Inspiration | Boissons;Refroidisseurs | Vitrines réfrigérées - 1 porte;Inspiration | Épicerie",1,"607,00","Pièces de rechange inclues 1 an",https://www.tefcold.dk/Files/Images/Perfion/b4075b21-9dee-4380-94ab-a0ac15a63d5a.jpg,https://www.tefcold.dk/Files/Images/Perfion/853e7f07-6a3d-48c2-b495-8296e313220e.png,https://www.tefcold.dk/Files/Images/Perfion/07604be5-28b3-4fb6-b3ec-78eeafe487c0.png,https://www.tefcold.fr//Files/Images/Perfion/da95c554-c44d-4bfa-898d-048fbb2711f7.png,https://api.tefcold.com/api/productreport/getxmlreport?itemnumber=15887&languageid=LANG5,https://www.tefcold.fr//Files/TefcoldDownloads/4e925f20-102d-4097-b6dd-30aff07cfebe.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/5fa51094-8438-47d8-b80a-e37f1c4e83e4.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/d8bb71bf-eada-4e40-9489-84f1555b62ab.pdf,0,0,5708181002039,15887,,,"+2 à +10",4,"67 / 62","215 / 190","1 porte vitrée à charnières",Oui,"3 clayettes blanches","2 pieds ajustables",Blanc,ABS,LED,Oui,Mécanique,"Avec ventilateur",Automatique,R600a,50,Oui,E,1.9,694,229,220-240/50,45," x  x ","470 x 440 x 1027","595 x 640 x 1315","680 x 710 x 1410",54,301,175,133,133,Blanc,"498 x 405 mm",196,2 roulettes,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15890,FS1280,"Réfrigérateur à boissons",,"La gamme FS de réfrigérateurs à boissons 1 porte offre une solidité à toute épreuve pour un prix très compétitif. L’armoire est blanche avec une porte vitrée à cadre aluminium gris. Elle combine excellente présentation des produits et puissant groupe frigorifique à froid brassé, et les tablettes réglables apportent une grande souplesse d’utilisation. ","Porte vitrée à cadre aluminium à charnières, Porte réversible, Tablettes ajustables, Pieds ajustables, Éclairage intérieur LED, Refroidissement par ventilateur",https://www.tefcold.fr/Produits/FS1280-15890,"Inspiration | Boissons;Refroidisseurs | Vitrines réfrigérées - 1 porte;Inspiration | Épicerie",1,"629,00","Pièces de rechange inclues 1 an",https://www.tefcold.dk/Files/Images/Perfion/cd7abb4b-cfc5-4468-8420-88feb5ab1e15.jpg,https://www.tefcold.dk/Files/Images/Perfion/853e7f07-6a3d-48c2-b495-8296e313220e.png,https://www.tefcold.dk/Files/Images/Perfion/07604be5-28b3-4fb6-b3ec-78eeafe487c0.png,https://www.tefcold.fr//Files/Images/Perfion/6a4d4459-25b4-4665-9092-c51e676b97de.png,https://api.tefcold.com/api/productreport/getxmlreport?itemnumber=15890&languageid=LANG5,https://www.tefcold.fr//Files/TefcoldDownloads/4e925f20-102d-4097-b6dd-30aff07cfebe.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/2382abbe-7363-41d3-9792-7f4eaf3f0cbe.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/70008a16-b23a-4332-a9ef-352605942349.pdf,0,0,5708181002053,15890,,,"+2 à +10",4,"78 / 73","290 / 260","1 porte vitrée à charnières",Oui,"4 clayettes blanches","2 pieds ajustables",Blanc,ABS,LED,Oui,Mécanique,"Avec ventilateur",Automatique,R600a,70,Oui,D,2,730,266,220-240/50,45," x  x ","470 x 440 x 1347","595 x 640 x 1635","680 x 710 x 1740",54,392,259,175,175,Blanc,"498 x 405 mm",196,2 roulettes,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15892,FS1380,"Réfrigérateur à boissons",,"La gamme FS de réfrigérateurs à boissons 1 porte offre une solidité à toute épreuve pour un prix très compétitif. L’armoire est blanche avec une porte vitrée à cadre aluminium gris. Elle combine excellente présentation des produits et puissant groupe frigorifique à froid brassé, et les tablettes réglables apportent une grande souplesse d’utilisation. ","Porte vitrée à cadre aluminium à charnières, Porte réversible, Tablettes ajustables, Pieds ajustables, Éclairage intérieur LED, Refroidissement par ventilateur",https://www.tefcold.fr/Produits/FS1380-15892,"Inspiration | Boissons;Refroidisseurs | Vitrines réfrigérées - 1 porte;Inspiration | Épicerie",1,"654,00","Pièces de rechange inclues 1 an",https://www.tefcold.dk/Files/Images/Perfion/fd138d5d-a42d-4bf8-b374-90a52f3e96c9.jpg,https://www.tefcold.dk/Files/Images/Perfion/853e7f07-6a3d-48c2-b495-8296e313220e.png,https://www.tefcold.dk/Files/Images/Perfion/07604be5-28b3-4fb6-b3ec-78eeafe487c0.png,https://www.tefcold.fr//Files/Images/Perfion/6a4d4459-25b4-4665-9092-c51e676b97de.png,https://api.tefcold.com/api/productreport/getxmlreport?itemnumber=15892&languageid=LANG5,https://www.tefcold.fr//Files/TefcoldDownloads/4e925f20-102d-4097-b6dd-30aff07cfebe.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/973295d0-3ab6-4220-b782-0bdd24ac2f5b.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/b2ed2a70-b2a3-4a1f-b77c-f14343348e5c.pdf,0,0,5708181002077,15892,,,"+2 à +10",4,"81 / 74","372 / 347","1 porte vitrée à charnières",Oui,"5 clayettes blanches","2 pieds ajustables",Blanc,ABS,LED,Oui,Mécanique,"Avec ventilateur",Automatique,R600a,80,Oui,D,2.2,803,295,220-240/50,45," x  x ","470 x 440 x 1555","595 x 640 x 1840","680 x 710 x 1940",54,455,301,217,217,Blanc,"498 x 405 mm",196,2 roulettes,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15894,FS2380,"Réfrigérateur à boissons",,"La gamme FS de réfrigérateurs à boissons offre une solidité à toute épreuve pour un prix très compétitif. L’armoire est blanche avec deux portes vitrées à cadre aluminium gris. Elle combine excellente présentation des produits et puissant groupe frigorifique à froid brassé, et les tablettes réglables apportent une grande souplesse d’utilisation. De nombreux modèles sont également disponibles avec un caisson lumineux (gamme FSC).","Porte vitrée à cadre aluminium à charnières, Portes réversibles, Tablettes ajustables, Pieds ajustables, Éclairage intérieur LED, Refroidissement par ventilateur",https://www.tefcold.fr/Produits/FS2380-15894,"Inspiration | Boissons;Refroidisseurs | Vitrines réfrigérées - 1 porte;Inspiration | Épicerie",1,"681,00","Pièces de rechange inclues 1 an",https://www.tefcold.dk/Files/Images/Perfion/93cb8e71-6137-47c6-aa96-fc21f98c96a8.jpg,https://www.tefcold.dk/Files/Images/Perfion/853e7f07-6a3d-48c2-b495-8296e313220e.png,https://www.tefcold.dk/Files/Images/Perfion/07604be5-28b3-4fb6-b3ec-78eeafe487c0.png,https://www.tefcold.fr//Files/Images/Perfion/6a4d4459-25b4-4665-9092-c51e676b97de.png,https://api.tefcold.com/api/productreport/getxmlreport?itemnumber=15894&languageid=LANG5,https://www.tefcold.fr//Files/TefcoldDownloads/4e925f20-102d-4097-b6dd-30aff07cfebe.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/a5011731-094c-4222-ae49-4ae4e6b0ac91.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/89077493-9042-4277-b07f-88e7c64f0ac6.pdf,0,0,5708181002121,15894,,,"+2 à +10",4,"87 / 82","372 / 347","2 double portes - vitrées à charnières",Oui,"5 clayettes blanches","2 pieds ajustables",Blanc,ABS,LED,Oui,Mécanique,"Avec ventilateur",Automatique,R600a,80,Oui,D,2.2,803,295,220-240/50,45," x  x ","470 x 440 x 1555","595 x 640 x 1840","680 x 710 x 1940",54,448,294,210,210,Blanc,"498 x 405 mm",196,2 roulettes,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15900,FSC1380,"Réfrigérateur à boissons",,"La gamme FSC de réfrigérateurs à boissons à 1 porte offre une solidité à toute épreuve pour un prix très compétitif. L’armoire est blanche avec une porte vitrée à cadre aluminium gris. Elle convient parfaitement au branding avec son caisson éclairé sur le dessus, elle attirera à coup sûr l’attention des clients. Elle combine excellente présentation des produits et puissant groupe frigorifique à froid brassé, et les tablettes réglables apportent une grande souplesse d’utilisation. De nombreux modèles sont également disponibles sans caisson lumineux (gamme FS).","Canopée lumineux LED, Porte réversible, Tablettes ajustables, Pieds ajustables, Éclairage intérieur LED, Porte vitrée à cadre aluminium à charnières, Refroidissement par ventilateur",https://www.tefcold.fr/Produits/FSC1380-15900,"Inspiration | Boissons;Refroidisseurs | Vitrines réfrigérées - 1 porte;Inspiration | Épicerie",1,"665,00","Pièces de rechange inclues 1 an",https://www.tefcold.dk/Files/Images/Perfion/329a2151-1a8c-4d92-a1b1-20db4dda5014.jpg,https://www.tefcold.dk/Files/Images/Perfion/4f386a0a-85a1-45d9-9895-c4193ce9b6fa.png,https://www.tefcold.dk/Files/Images/Perfion/975705f1-e6a8-4238-8828-51c8bfbb5747.png,https://www.tefcold.fr//Files/Images/Perfion/6a4d4459-25b4-4665-9092-c51e676b97de.png,https://api.tefcold.com/api/productreport/getxmlreport?itemnumber=15900&languageid=LANG5,https://www.tefcold.fr//Files/TefcoldDownloads/4e925f20-102d-4097-b6dd-30aff07cfebe.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/85cb86d8-86bc-4ac5-9abe-c65d57e635ef.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/db8eae11-8def-4b2b-9390-c5eed99f12f7.pdf,0,0,5708181002107,15900,,,"+2 à +10",4,"87 / 82","372 / 347","1 porte vitrée à charnières",Oui,"5 clayettes blanches","2 pieds ajustables",Blanc,ABS,LED,Oui,Mécanique,"Avec ventilateur",Automatique,R600a,80,Oui,D,2.25,821,295,220-240/50,45," x  x ","470 x 440 x 1555","595 x 640 x 1980","680 x 710 x 2080",54,455,301,217,217,Blanc,"498 x 405 mm",196,2 roulettes,"Profil en D",358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15903,FSC1450,"Réfrigérateur à boissons",,"La gamme FSC de réfrigérateurs à boissons à 1 porte offre une solidité à toute épreuve pour un prix très compétitif. L’armoire est blanche avec une porte vitrée à cadre aluminium gris. Elle convient parfaitement au branding avec son caisson éclairé sur le dessus, elle attirera à coup sûr l’attention des clients. Elle combine excellente présentation des produits et puissant groupe frigorifique à froid brassé, et les tablettes réglables apportent une grande souplesse d’utilisation. De nombreux modèles sont également disponibles sans caisson lumineux (gamme FS).","Porte réversible, Tablettes ajustables, Pieds ajustables, Porte vitrée à cadre aluminium à charnières, Canopée lumineux LED, Refroidissement par ventilateur, Éclairage intérieur LED",https://www.tefcold.fr/Produits/FSC1450-15903,"Inspiration | Boissons;Refroidisseurs | Vitrines réfrigérées - 1 porte;Inspiration | Épicerie",1,"749,00","Pièces de rechange inclues 1 an",https://www.tefcold.dk/Files/Images/Perfion/a9e048c6-ce43-4616-97a1-93c5ad5defa5.jpg,https://www.tefcold.dk/Files/Images/Perfion/90da59a6-83c6-4808-8f81-7961b7cf940f.png,https://www.tefcold.dk/Files/Images/Perfion/475933d6-bd90-46ad-b105-f7bdfde72aeb.png,https://www.tefcold.fr//Files/Images/Perfion/872f0073-a631-4d70-951c-23d43445630b.png,https://api.tefcold.com/api/productreport/getxmlreport?itemnumber=15903&languageid=LANG5,https://www.tefcold.fr//Files/TefcoldDownloads/4e925f20-102d-4097-b6dd-30aff07cfebe.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/4903344c-8cf1-47a7-ad8c-74bcad7d92c2.pdf,https://www.tefcold.fr//Files/TefcoldDownloads/fdd659c9-5c39-434d-ac09-4902f8b198aa.pdf,0,0,5708181002114,15903,,,"+2 à +10",4,"107 / 102","438 / 374","1 porte vitrée à charnières",Oui,"6 clayettes blanches","2 pieds ajustables",Blanc,ABS,LED,Oui,Mécanique,"Avec ventilateur",Automatique,R600a,80,Oui,F,3.62,1321,295,220-240/50,45," x  x ","585 x 495 x 1515","680 x 655 x 2090","690 x 755 x 2200",51,480,270,360,360,Blanc,"574 x 405 mm",196,2 roulettes,"Profil en D",469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
